 INFO | 2016-05-27 15:44:05,949 | Common.java | 64 | Startup activites...
 INFO | 2016-05-27 15:44:05,952 | Common.java | 64 | Test Output Directory creation successful :D:\Prakashs_Backup\DemoWorkspaceFinal\SWAUTorg\TestResults\2016_05_27_03_44_05_PM
 INFO | 2016-05-27 15:44:05,952 | Common.java | 64 | Log File creation successful : LogFile.log
 INFO | 2016-05-27 15:44:06,272 | Common.java | 64 | Getting value of Tc_Settings_Excelpath from Test Configuration file : ./src/test/resources/TestCaseSettings.xls
 INFO | 2016-05-27 15:44:06,404 | Common.java | 64 | Getting value of TestDataFile from Test Configuration file : .\src\test\resources\TestData.xls
 INFO | 2016-05-27 15:44:20,426 | Common.java | 64 | Getting value of ElementLoadWaitTime from Test Configuration file : 30
 INFO | 2016-05-27 15:44:20,431 | Common.java | 64 | Getting value of TextLoadWaitTime from Test Configuration file : 10
 INFO | 2016-05-27 15:44:20,434 | Common.java | 64 | Getting value of PageLoadWaitTime from Test Configuration file : 120
 INFO | 2016-05-27 15:44:20,438 | Common.java | 64 | Getting value of ImplicitlyWaitTime from Test Configuration file : 30
 INFO | 2016-05-27 15:44:20,440 | Common.java | 64 | Element time out set
 INFO | 2016-05-27 15:44:20,441 | Common.java | 64 | ##### Start of Test Case : Login to Adactin Application #####
 INFO | 2016-05-27 15:44:20,442 | Common.java | 64 | Test Case Name: TC_001
 INFO | 2016-05-27 15:44:20,443 | Common.java | 64 | Getting value of TestDataFile from Test Configuration file : .\src\test\resources\TestData.xls
 INFO | 2016-05-27 15:44:20,524 | Common.java | 64 | Test Data Set Name: TC_001
 INFO | 2016-05-27 15:44:20,525 | Common.java | 64 | Execution Flag: Execute
 INFO | 2016-05-27 15:44:20,525 | Common.java | 64 | Test Data Set Name: TC_001_01
 INFO | 2016-05-27 15:44:20,531 | Common.java | 64 | Execution Flag: YES
 INFO | 2016-05-27 15:44:20,532 | Common.java | 64 | Test Data Set Name: 
 INFO | 2016-05-27 15:44:20,532 | Common.java | 64 | Execution Flag: 
 INFO | 2016-05-27 15:44:20,554 | Common.java | 64 | Getting value of Browser from Test Configuration file : chrome
 INFO | 2016-05-27 15:44:23,559 | Common.java | 64 | Getting value of url from Test Configuration file : http://www.adactin.com/HotelApp/
 INFO | 2016-05-27 15:44:27,104 | Common.java | 64 | Opened Application Successfully
ERROR | 2016-05-27 15:44:27,106 | Common.java | 72 | Unable to Open Application
